cashtag,tweets
MMM,4
ABT,2
ABBV,27
ACN,0
ATVI,5
AYI,2
ADBE,0
AMD,3
AAP,3
AES,0
AET,3
AMG,0
AFL,0
A,2
APD,3
AKAM,0
ALK,4
ALB,10
ARE,0
AGN,2
LNT,0
ALXN,1
ALLE,0
ADS,1
ALL,0
GOOGL,26
GOOG,15
MO,1
AMZN,55
AEE,0
AAL,3
AEP,1
AXP,4
AIG,6
AMT,1
AWK,2
AMP,3
ABC,1
AME,1
AMGN,41
APH,4
APC,2
ADI,0
ANTM,7
AON,0
APA,3
AIV,0
AAPL,36
AMAT,2
ADM,0
ARNC,9
AJG,3
AIZ,1
T,5
ADSK,0
ADP,1
AN,1
AZO,0
AVB,0
AVY,3
BHI,3
BLL,0
BAC,19
BK,0
BCR,1
BAX,2
BBT,0
BDX,1
BBBY,1
BRK.B,0
BBY,1
BIIB,40
BLK,4
HRB,5
BA,18
BWA,1
BXP,1
BSX,1
BMY,34
AVGO,0
BF.B,0
CHRW,1
CA,0
COG,1
CPB,0
COF,4
CAH,5
CBOE,2
KMX,3
CCL,4
CAT,17
CBG,0
CBS,2
CELG,35
CNC,2
CNP,2
CTL,3
CERN,2
CF,2
SCHW,2
CHTR,3
CHK,3
CVX,15
CMG,55
CB,0
CHD,0
CI,3
XEC,3
CINF,3
CTAS,0
CSCO,14
C,3
CFG,2
CTXS,2
CLX,0
CME,0
CMS,0
COH,1
KO,6
CTSH,3
CL,5
CMCSA,5
CMA,1
CAG,0
CXO,0
COP,1
ED,0
STZ,2
COO,0
GLW,3
COST,9
COTY,1
CCI,1
CSRA,1
CSX,1
CMI,4
CVS,4
DHI,0
DHR,2
DRI,2
DVA,1
DE,5
DLPH,0
DAL,4
XRAY,0
DVN,4
DLR,1
DFS,4
DISCA,0
DISCK,0
DISH,1
DG,0
DLTR,0
D,0
DOV,1
DOW,2
DPS,5
DTE,2
DD,4
DUK,0
DXC,2
ETFC,0
EMN,0
ETN,1
EBAY,2
ECL,0
EIX,0
EW,9
EA,1
EMR,0
ETR,1
EVHC,0
EOG,1
EQT,2
EFX,1
EQIX,8
EQR,1
ESS,0
EL,0
ES,9
EXC,0
EXPE,3
EXPD,0
ESRX,22
EXR,3
XOM,22
FFIV,3
FB,43
FAST,0
FRT,0
FDX,2
FIS,2
FITB,1
FE,1
FISV,2
FLIR,5
FLS,2
FLR,0
FMC,11
FL,0
F,7
FTV,1
FBHS,2
BEN,0
FCX,10
GPS,1
GRMN,0
IT,4
GD,4
GE,33
GGP,1
GIS,0
GM,4
GPC,1
GILD,32
GPN,0
GS,9
GT,0
GWW,4
HAL,6
HBI,0
HOG,4
HRS,1
HIG,0
HAS,6
HCA,1
HCP,0
HP,4
HSIC,0
HSY,0
HES,2
HPE,0
HOLX,2
HD,1
HON,19
HRL,3
HST,0
HPQ,0
HUM,2
HBAN,6
IDXX,0
ITW,10
ILMN,3
IR,3
INTC,10
ICE,3
IBM,12
INCY,4
IP,2
IPG,1
IFF,3
INTU,0
ISRG,4
IVZ,1
IRM,1
JEC,1
JBHT,2
SJM,1
JNJ,2
JCI,2
JPM,21
JNPR,10
KSU,7
K,2
KEY,4
KMB,3
KIM,1
KMI,0
KLAC,0
KSS,1
KHC,0
KR,1
LB,5
LLL,1
LH,0
LRCX,1
LEG,0
LEN,2
LVLT,3
LUK,0
LLY,28
LNC,0
LKQ,0
LMT,10
L,1
LOW,1
LYB,0
MTB,1
MAC,0
M,13
MNK,0
MRO,3
MPC,1
MAR,1
MMC,0
MLM,3
MAS,0
MA,0
MAT,2
MKC,0
MCD,15
MCK,5
MJN,2
MDT,5
MRK,35
MET,2
MTD,0
KORS,0
MCHP,0
MU,5
MSFT,25
MAA,2
MHK,0
TAP,1
MDLZ,2
MON,0
MNST,0
MCO,1
MS,8
MOS,0
MSI,0
MUR,2
MYL,1
NDAQ,4
NOV,3
NAVI,0
NTAP,0
NFLX,16
NWL,0
NFX,0
NEM,10
NWSA,0
NWS,0
NEE,1
NLSN,1
NKE,4
NI,1
NBL,1
JWN,1
NSC,1
NTRS,1
NOC,3
NRG,1
NUE,2
NVDA,4
ORLY,0
OXY,0
OMC,0
OKE,0
ORCL,5
PCAR,0
PH,4
PDCO,0
PAYX,1
PYPL,4
PNR,3
PBCT,2
PEP,19
PKI,0
PRGO,2
PFE,29
PCG,1
PM,8
PSX,0
PNW,0
PXD,2
PNC,0
RL,2
PPG,0
PPL,2
PX,2
PCLN,0
PFG,0
PG,5
PGR,0
PLD,4
PRU,0
PEG,2
PSA,2
PHM,4
PVH,0
QRVO,0
PWR,0
QCOM,2
DGX,3
RRC,2
RJF,1
RTN,3
O,2
RHT,5
REG,0
REGN,3
RF,2
RSG,0
RAI,2
RHI,0
ROK,3
COL,2
ROP,0
ROST,0
RCL,3
R,1
CRM,4
SCG,0
SLB,1
SNI,0
STX,7
SEE,4
SRE,1
SHW,1
SIG,0
SPG,0
SWKS,1
SLG,1
SNA,2
SO,1
LUV,6
SPGI,1
SWK,0
SPLS,0
SBUX,5
STT,5
SRCL,0
SYK,7
STI,1
SYMC,2
SYF,1
SNPS,2
SYY,0
TROW,6
TGT,3
TEL,1
FTI,6
TGNA,2
TDC,2
TSO,2
TXN,6
TXT,2
TMO,8
TIF,2
TWX,0
TJX,1
TMK,1
TSS,2
TSCO,3
TDG,1
RIG,5
TRV,2
TRIP,1
FOXA,1
FOX,0
TSN,2
UDR,0
ULTA,1
USB,1
UA,6
UAA,5
UNP,3
UAL,5
UNH,4
UPS,7
URI,0
UTX,4
UHS,0
UNM,1
VFC,0
VLO,4
VAR,3
VTR,1
VRSN,0
VRSK,0
VZ,5
VRTX,3
VIAB,2
V,44
VNO,2
VMC,0
WMT,1
WBA,3
DIS,18
WM,0
WAT,3
WEC,0
WFC,13
HCN,0
WDC,3
WU,0
WRK,0
WY,2
WHR,5
WFM,7
WMB,2
WLTW,2
WYN,3
WYNN,32
XEL,1
XRX,2
XLNX,3
XL,0
XYL,0
YHOO,13
YUM,1
ZBH,0
ZION,1
ZTS,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
